2016,1,1,97,1,1,98,84,1,1,100,7,71,0,0,0,22510,36610,0,8100
2016,1,1,97,1,2,89,84,1,1,100,10,101,49,4901,0,14100,36610,0,14100
2016,1,2,95,1,1,95,78,4,1,100,7,71,0,0,40,45800,45800,27300,18500
2016,1,3,159,1,1,160,46,1,1,100,8,81,0,0,40,65000,65000,65000,0
2016,1,3,159,1,2,154,52,1,1,100,6,65,0,0,0,0,65000,0,0
2016,1,3,159,1,3,184,20,6,1,100,6,63,0,0,0,0,65000,0,0
2016,1,3,159,1,4,260,16,6,1,100,4,40,0,0,0,0,65000,0,0
2016,1,4,122,1,1,122,66,1,1,100,6,63,0,0,0,3900,60900,0,3900
2016,1,4,122,1,2,113,68,1,1,100,10,101,24,2414,0,57000,60900,0,0
2016,1,5,20,1,1,20,64,1,1,100,6,65,0,0,40,82000,82570,78000,0
2016,1,5,20,1,2,18,63,1,1,100,6,65,0,0,0,570,82570,0,570
2016,1,6,226,1,1,226,25,6,1,100,7,71,0,0,24,19200,19200,19200,0
2016,1,6,226,1,2,155,23,6,1,100,8,81,0,0,40,19100,19200,19100,0
2016,1,7,15,1,1,15,35,4,1,100,10,101,60,6000,40,35000,35000,35000,0
2016,1,8,225,1,1,225,26,1,2,200,7,71,0,0,35,27000,45000,27000,0
2016,1,8,225,1,2,275,25,1,2,200,6,63,0,0,27,18000,45000,18000,0
2016,1,8,225,1,3,263,6,6,2,200,1,12,0,0,0,9999999,45000,999999,99999
2016,1,8,225,1,4,223,1,6,2,200,0,1,0,0,0,9999999,45000,999999,99999
2016,1,8,225,1,5,262,8,6,2,200,1,14,0,0,0,9999999,45000,999999,99999
2016,1,9,151,1,1,151,37,3,1,100,7,71,0,0,40,5000,14000,5000,0
2016,1,9,151,1,2,55,15,6,8,801,3,30,0,0,0,9000,14000,999999,9000
2016,1,9,151,1,3,55,12,6,8,801,2,22,0,0,0,9999999,14000,999999,99999
2016,1,10,20,1,1,20,83,5,2,200,6,63,0,0,0,20200,20200,0,14000
2016,1,11,18,1,1,18,36,1,1,100,10,101,24,2418,50,351200,351200,356000,0
2016,1,11,18,1,2,14,35,1,1,100,10,101,24,2414,0,0,351200,0,0
2016,1,11,18,1,3,25,4,6,1,100,0,2,0,0,0,9999999,351200,999999,99999
2016,1,12,111,1,1,111,72,1,1,100,0,2,0,0,0,13800,25200,0,13800
2016,1,12,111,1,2,93,76,1,4,400,11,114,62,6201,0,11400,25200,0,11400
2016,1,13,204,1,1,204,30,1,1,100,6,63,0,0,30,350,1070,350,0
2016,1,13,204,1,2,164,33,1,1,100,6,63,0,0,40,720,1070,720,0
2016,1,13,204,1,3,226,13,6,1,100,2,22,0,0,0,9999999,1070,999999,99999
2016,1,13,204,1,4,167,11,6,1,100,1,17,0,0,0,9999999,1070,999999,99999
2016,1,13,204,1,5,167,9,6,1,100,1,15,0,0,0,9999999,1070,999999,99999
2016,1,14,59,3,1,59,35,4,1,100,10,101,24,2408,60,2400,9999999,2400,0
2016,1,15,86,1,1,86,53,4,2,200,6,65,0,0,40,17000,17000,17000,0
2016,1,16,10,1,1,10,71,1,1,100,5,50,0,0,16,18000,74800,8000,10000
2016,1,16,10,1,2,12,76,1,1,100,7,71,0,0,0,25200,74800,0,14900
2016,1,16,10,1,3,26,45,4,1,100,7,71,0,0,50,31600,74800,31600,0
2016,1,17,78,1,1,78,57,4,2,200,8,81,0,0,15,39200,60700,15000,0
2016,1,17,78,1,2,142,25,6,2,200,7,71,0,0,30,9000,60700,9000,0
2016,1,17,78,1,3,142,24,6,2,200,7,71,0,0,30,12500,60700,12500,0
2016,1,18,71,1,1,71,37,6,2,200,7,71,0,0,40,22600,23600,22600,0
2016,1,18,71,1,2,90,20,6,2,200,6,63,0,0,15,1000,23600,1000,0
2016,1,18,71,1,3,42,16,6,2,200,4,40,0,0,0,0,23600,0,0
2016,1,19,50,1,1,50,50,1,1,100,6,65,0,0,10,52000,57000,10000,0
2016,1,19,50,1,2,74,49,1,1,100,7,71,0,0,22,5000,57000,5000,0
2016,1,19,50,1,3,76,13,6,1,100,2,25,0,0,0,9999999,57000,999999,99999
2016,1,19,50,1,4,56,12,6,1,100,2,22,0,0,0,9999999,57000,999999,99999
2016,1,20,27,1,1,28,67,1,2,200,6,65,0,0,40,83000,158000,59000,24000
2016,1,20,27,1,2,31,67,1,2,200,6,65,0,0,80,75000,158000,60000,15000
2016,1,21,31,3,1,31,93,5,1,100,6,63,0,0,0,12000,9999999,0,12000
2016,1,22,42,1,1,42,86,5,1,100,0,2,0,0,0,19600,19600,0,9600
2016,1,23,85,1,1,85,36,3,2,200,6,63,0,0,50,80000,80000,80000,0
2016,1,24,73,1,1,73,69,5,1,100,6,65,0,0,0,19800,61800,0,15000
2016,1,24,73,1,2,96,45,6,1,100,7,71,0,0,40,5000,61800,0,0
2016,1,24,73,1,3,167,42,1,1,100,7,71,0,0,16,9500,61800,9500,0
2016,1,24,73,1,4,135,66,6,1,100,10,101,23,2304,40,17100,61800,17100,0
2016,1,24,73,1,5,137,50,1,1,100,6,65,0,0,40,10400,61800,10400,0
2016,1,25,75,1,1,76,61,1,2,200,6,63,0,0,0,0,43000,0,0
2016,1,25,75,1,2,109,64,1,2,200,6,63,0,0,0,43000,43000,0,19000
2016,1,26,29,1,1,29,75,1,1,100,3,30,0,0,2,7130,24730,830,6300
2016,1,26,29,1,2,52,77,1,3,310,3,30,0,0,0,17600,24730,0,17600
2016,1,27,214,1,1,214,71,4,1,100,11,114,11,1103,0,10800,10800,0,10800
